Date,Sales_Total_Nominal,Inventories_Total_Nominal,Inventories_to_Sales_Ratio_Nominal,Sales_YoY_Growth
1992-01-01,142980,188403,1.3176877885018883,
1992-02-01,144206,189335,1.3129481436278656,
1992-03-01,145306,190547,1.311349841025147,
1992-04-01,145381,189951,1.3065737613580868,
1992-05-01,144000,189115,1.3132986111111111,
1992-06-01,145989,192831,1.3208597908061566,
1992-07-01,148808,191989,1.2901792914359442,
1992-08-01,147427,192602,1.306422839778331,
1992-09-01,149251,193344,1.295428506341666,
1992-10-01,149276,193625,1.297093973579142,
1992-11-01,149801,195300,1.3037296146220654,
1992-12-01,148469,196914,1.3262970721160647,
1993-01-01,153497,197552,1.2870088666228003,7.355574206182691
1993-02-01,152528,197207,1.2929232665477814,5.770911057792327
1993-03-01,149841,198831,1.3269465633571587,3.1209998210672607
1993-04-01,153239,199622,1.3026840425740183,5.405107957711119
1993-05-01,156085,199395,1.2774770157286095,8.392361111111102
1993-06-01,152751,199698,1.3073433234479643,4.6318558247539166
1993-07-01,154732,199737,1.2908577411265931,3.980968765120152
1993-08-01,154879,201788,1.3028751476959433,5.054705040460705
1993-09-01,155380,202858,1.3055605612047883,4.106505149044226
1993-10-01,155866,202074,1.2964597795542325,4.414641335512748
1993-11-01,156094,203158,1.301510628211206,4.200906536004423
1993-12-01,152929,204842,1.3394581799397105,3.0039940997784065
1994-01-01,156983,204844,1.304880146257875,2.271054157410246
1994-02-01,157654,206498,1.309817702056402,3.360694429875166
1994-03-01,160546,205748,1.281551704807345,7.144239560600907
1994-04-01,160114,206510,1.2897685399153103,4.486455797806044
1994-05-01,161206,210080,1.3031773010930114,3.280904635294868
1994-06-01,162652,209820,1.2899933600570543,6.481790626575279
1994-07-01,164247,211902,1.2901422857038485,6.149342088255816
1994-08-01,168414,213360,1.2668780505183654,8.739080185176817
1994-09-01,168187,215081,1.2788205985004786,8.242373535847602
1994-10-01,171258,218049,1.2732193532564902,9.875149166591823
1994-11-01,171528,219673,1.2806830371717737,9.887631811600706
1994-12-01,174127,221978,1.274805170938453,13.861334344695898
1995-01-01,175771,224148,1.2752274265948307,11.968174897918882
1995-02-01,177369,226012,1.2742474727827298,12.505232978547953
1995-03-01,175256,228569,1.304200712101155,9.162483026671486
1995-04-01,178210,231002,1.2962347791930868,11.301947362504205
1995-05-01,178565,231862,1.2984739450620222,10.768209619989321
1995-06-01,180181,233297,1.294792458694313,10.776996286550421
1995-07-01,180081,235664,1.3086555494471932,9.640358728013299
1995-08-01,181324,236003,1.3015541241093291,7.665633498402746
1995-09-01,182123,237075,1.3017301494045233,8.2860149714306
1995-10-01,182966,238005,1.3008154520512007,6.8364689532751655
1995-11-01,184854,238149,1.2883086111201272,7.7689939834895805
1995-12-01,186968,238392,1.2750417183689187,7.374502518276893
1996-01-01,184352,239788,1.3007073424752646,4.881920225748271
1996-02-01,185286,239571,1.2929795019591335,4.463575934915354
1996-03-01,187580,239391,1.2762074848064826,7.0319989044597575
1996-04-01,187462,242644,1.294363657701294,5.191627854778069
1996-05-01,188032,242517,1.2897645081688223,5.301710861591014
1996-06-01,189016,241659,1.2785108138993524,4.903402689517766
1996-07-01,190819,241933,1.267866407433222,5.962872263037178
1996-08-01,191939,241755,1.2595407916056665,5.854161611259401
1996-09-01,191679,240016,1.252176816448333,5.247003398801908
1996-10-01,193329,240734,1.2452037718086784,5.663893838199452
1996-11-01,194369,240909,1.2394414747207632,5.147305441050776
1996-12-01,192137,241058,1.2546151964483676,2.764644217192247
1997-01-01,194379,243449,1.2524449657627625,5.439051379968762
1997-02-01,199102,243583,1.2234081023796848,7.4565806375009425
1997-03-01,197622,244978,1.2396291910819646,5.353449195010129
1997-04-01,196608,245342,1.2478739420572917,4.878855448037478
1997-05-01,197677,246725,1.2481219362900084,5.129446051735864
1997-06-01,197465,251010,1.2711619780720633,4.469991958352737
1997-07-01,197978,249996,1.2627463657578115,3.7517228368244337
1997-08-01,197328,250888,1.2714262547636423,2.807662851218362
1997-09-01,200474,253166,1.2628370761295729,4.588400398583037
1997-10-01,199698,254054,1.2721910084227184,3.294384184473098
1997-11-01,199693,256109,1.2825136584657448,2.7391199213866457
1997-12-01,199039,258454,1.298509337366044,3.5922284619828604
1998-01-01,201068,259088,1.2885590944357133,3.4412153576260707
1998-02-01,200976,261734,1.3023147042432928,0.9412261052124116
1998-03-01,202223,263439,1.3027153192267942,2.3281820849905266
1998-04-01,202434,263284,1.3005917978205241,2.9632568359375
1998-05-01,202077,265233,1.312534330972847,2.225853285915913
1998-06-01,200992,264400,1.3154752427957332,1.786139315828117
1998-07-01,202201,264793,1.3095533652158,2.1330652900827474
1998-08-01,200940,267204,1.3297700806210808,1.8304548771588491
1998-09-01,202070,268711,1.329791656356708,0.7961132116883096
1998-10-01,203185,269467,1.326215025715481,1.7461366663662048
1998-11-01,203149,271044,1.3342128191622897,1.730656557816257
1998-12-01,204997,272297,1.3282974872803017,2.9933832063063104
1999-01-01,204181,272635,1.3352613612432107,1.5482324387769308
1999-02-01,206856,274923,1.3290549947789767,2.9257224743252985
1999-03-01,209359,275847,1.3175788955812742,3.5287776365695356
1999-04-01,210145,276188,1.3142734778367318,3.8091427329401295
1999-05-01,214770,276792,1.2887833496298366,6.281269021214686
1999-06-01,216526,276961,1.2791119773145025,7.728665817544966
1999-07-01,217499,279948,1.2871231591869388,7.565739041844499
1999-08-01,218978,280588,1.2813524646311503,8.976808997710762
1999-09-01,220899,282127,1.277176447154582,9.318058098678673
1999-10-01,223817,285104,1.2738263849484177,10.154292885793726
1999-11-01,226182,288823,1.2769495362141992,11.337983450570754
1999-12-01,227783,290182,1.2739405486801034,11.115284613921173
2000-01-01,229894,292768,1.2734912611899396,12.593238352246283
2000-02-01,228883,294593,1.2870899105656601,10.648470433538314
2000-03-01,231906,296789,1.2797814631790467,10.769539403608164
2000-04-01,232971,299545,1.285760888694301,10.862023840681445
2000-05-01,233622,301245,1.2894547602537432,8.777762257298516
2000-06-01,236402,303182,1.282484919755332,9.179498074134273
2000-07-01,235378,304073,1.2918497055799607,8.220267679391636
2000-08-01,235215,305053,1.296911336436877,7.414900126953383
