"Table 1b. Revised (Adjusted1) Estimates of Monthly Inventories of Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: January 1992 Through July 2025.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Inventories estimates are in millions of dollars.  Estimates are based on data from the Monthly Wholesale Trade Survey, and have been benchmarked using the results of the Annual Wholesale Trade Survey.",,,,,,,,,,,,,,,,,,,,,,,
"For a full description of the NAICS codes used in this table, see the 2017 NAICS manual or <www.census.gov/naics>.",,,,,,,,,,,,,,,,,,,,,,,
"Additional information on sampling variability, confidentiality protection, sampling error, nonsampling error, sample design, and definitions may be found at <www.census.gov/wholesale/>.",,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,
"    1 Except where indicated, inventories estimates are adjusted for seasonal variation.  Estimates are adjusted for trading day differences, but not for price changes.",,,,,,,,,,,,,,,,,,,,,,,
"    2 For January 1998 through December 2003, no significant seasonal pattern for NAICS 4241 was detected in the latest annual review of the seasonal adjustment for inventories.  Consequently, the ""Adjusted"" inventories estimates are equal to the ""Not Adjusted"" estimates for those months.",,,,,,,,,,,,,,,,,,,,,,,
"    3 For January 1996 and subsequent months, no significant seasonal pattern for NAICS 4246 was detected in the latest annual review of the seasonal adjustment for inventories.  Consequently, the ""Adjusted"" inventories estimates are equal to the ""Not Adjusted"" estimates.",,,,,,,,,,,,,,,,,,,,,,,
    p Preliminary estimates.,,,,,,,,,,,,,,,,,,,,,,,
    r Revised estimates.,,,,,,,,,,,,,,,,,,,,,,,
   NA = Not available.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Monthly Wholesale Trade Survey, September 10, 2025, Project No. P-7503922/CBDRB-FY25-0004.",,,,,,,,,,,,,,,,,,,,,,,
                                                                                                                                                                                                                                    NAICS Code/NAICS Description (sub-parts indicated by one or more leading dots),,,,,,,,,,,,,,,,,,,,,,,
,,"Total Merchant
Wholesalers,
Except
Manufacturers'
Sales Branches
and Offices",".Durable
Goods","..Motor
Vehicle &
Motor
Vehicle
Parts &
Supplies","..Furniture
& Home
Furnishings","..Lumber &
Other
Construction
Materials","..Professional
& Commercial
Equipment &
Supplies","...Computer
& Computer
Peripheral
Equipment
& Software","..Metals &
Minerals,
Except
Petroleum","..Household
Appliances
& Electrical
& Electronic
Goods","..Hardware,
& Plumbing
& Heating
Equipment
& Supplies","..Machinery,
Equipment,
& Supplies","..Miscellaneous
Durable Goods",".Nondurable
Goods","..Paper &
Paper
Products","..Drugs &
Druggists'
Sundries","..Apparel,
Piece
Goods, &
Notions","..Grocery &
Related
Products","..Farm
Product Raw
Materials","..Chemicals
& Allied
Products","..Petroleum
&
Petroleum
Products","..Beer,
Wine, &
Distilled
Alcoholic
Beverages","..Miscellaneous
Nondurable
Goods"
