"Table 1a. Revised (Adjusted1) Estimates of Monthly Sales of Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices:  January 1992 Through July 2025.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Sales estimates are in millions of dollars. Estimates are based on data from the Monthly Wholesale Trade Survey, and have been benchmarked using the results of the Annual Wholesale Trade Survey.",,,,,,,,,,,,,,,,,,,,,,,
"For a full description of the NAICS codes used in this table, see the 2017 NAICS manual or <www.census.gov/naics>.",,,,,,,,,,,,,,,,,,,,,,,
"Additional information on sampling variability, confidentiality protection, sampling error, nonsampling error, sample design, and definitions may be found at <www.census.gov/wholesale/>.",,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,
"    1 Sales are adjusted for seasonal variation, trading day differences, and moving holidays. Estimates are not adjusted for price changes.",,,,,,,,,,,,,,,,,,,,,,,
    p Preliminary estimates.,,,,,,,,,,,,,,,,,,,,,,,
    r Revised estimates.,,,,,,,,,,,,,,,,,,,,,,,
   NA = Not available.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Monthly Wholesale Trade Survey, September 10, 2025, Project No. P-7503922/CBDRB-FY25-0004.",,,,,,,,,,,,,,,,,,,,,,,
                                                                                                                                                                                                                                    NAICS Code/NAICS Description (sub-parts indicated by one or more leading dots),,,,,,,,,,,,,,,,,,,,,,,
,,"Total Merchant
Wholesalers,
Except
Manufacturers'
Sales Branches
and Offices",".Durable
Goods","..Motor
Vehicle &
Motor
Vehicle
Parts &
Supplies","..Furniture
& Home
Furnishings","..Lumber &
Other
Construction
Materials","..Professional
& Commercial
Equipment &
Supplies","...Computer
& Computer
Peripheral
Equipment
& Software","..Metals &
Minerals,
Except
Petroleum","..Household
Appliances
& Electrical
& Electronic
Goods","..Hardware,
& Plumbing
& Heating
Equipment
& Supplies","..Machinery,
Equipment,
& Supplies","..Miscellaneous
Durable Goods",".Nondurable
Goods","..Paper &
Paper
Products","..Drugs &
Druggists'
Sundries","..Apparel,
Piece
Goods, &
Notions","..Grocery &
Related
Products","..Farm
Product Raw
Materials","..Chemicals
& Allied
Products","..Petroleum
& Petroleum
Products","..Beer,
Wine, &
Distilled
Alcoholic
Beverages","..Miscellaneous
Nondurable
Goods"
Month,Year,42,423,4231,4232,4233,4234,42343,4235,4236,4237,4238,4239,424,4241,4242,4243,4244,4245,4246,4247,4248,4249
July   p,2025,"711,349","347,311","52,961","8,568","17,901","57,112","29,626","18,497","86,095","22,285","53,757","30,135","364,038","8,002","104,955","13,916","79,398","21,336","13,160","75,938","15,362","31,971"
June   r,2025,"701,297","342,838","53,877","8,523","17,534","55,498","28,616","18,161","83,984","21,708","54,231","29,322","358,459","7,733","102,428","14,103","78,572","21,465","12,998","74,297","15,429","31,434"
May,2025,"696,650","340,356","54,372","8,729","17,525","55,161","28,368","17,958","83,406","21,151","53,935","28,119","356,294","7,882","101,126","13,999","78,898","21,917","13,265","72,320","15,323","31,564"
April,2025,"699,402","339,529","52,555","8,930","18,110","55,354","28,566","17,746","82,479","21,377","54,435","28,543","359,873","7,965","101,432","13,738","78,325","21,957","12,928","74,573","15,318","33,637"
March,2025,"699,137","339,082","52,603","8,729","18,282","54,816","28,115","18,077","82,844","21,029","54,007","28,695","360,055","7,893","101,246","13,477","77,268","21,611","12,901","77,082","15,440","33,137"
February,2025,"693,771","335,174","52,890","8,770","18,064","54,241","27,553","17,742","80,475","21,220","53,452","28,320","358,597","8,013","97,954","13,589","77,115","20,575","12,862","81,389","15,214","31,886"
January,2025,"680,213","324,662","51,688","8,864","17,332","51,551","26,040","17,203","78,675","21,045","50,574","27,730","355,551","7,803","96,321","13,777","76,565","20,788","12,581","81,556","15,277","30,883"
December,2024,"686,602","332,511","51,653","8,917","17,886","52,306","26,037","16,973","82,765","21,424","52,757","27,830","354,091","7,749","96,503","13,983","78,265","21,405","13,078","77,843","15,069","30,196"
November,2024,"677,175","331,374","54,437","9,044","18,019","52,439","25,909","17,302","77,669","21,043","53,645","27,776","345,801","7,867","94,198","13,369","77,135","21,154","12,220","74,574","15,128","30,156"
October,2024,"671,425","324,184","53,320","8,753","17,544","51,442","24,373","16,849","76,196","20,324","52,134","27,622","347,241","7,778","93,833","13,425","76,142","21,144","12,431","76,712","15,175","30,601"
September,2024,"674,075","325,664","53,214","8,665","17,674","53,155","26,009","17,295","75,476","20,609","52,234","27,342","348,411","7,818","94,614","13,762","75,619","21,102","12,664","77,436","15,272","30,124"
August,2024,"670,160","323,400","52,948","8,856","17,695","52,361","26,192","16,808","75,359","20,462","52,033","26,878","346,760","7,808","93,009","13,330","74,952","20,058","12,513","79,176","15,467","30,447"
July   r,2024,"669,676","319,853","52,482","8,968","17,633","51,682","25,610","17,242","72,944","20,396","51,680","26,826","349,823","7,741","93,234","13,414","74,782","20,025","12,747","81,220","15,477","31,183"
June,2024,"662,292","317,740","51,789","8,798","17,685","51,410","25,245","17,322","72,451","20,534","51,045","26,706","344,552","7,743","91,596","12,920","74,586","19,884","12,814","78,834","15,693","30,482"
May,2024,"665,250","316,317","51,721","8,480","17,325","51,070","24,764","17,801","72,133","20,132","51,264","26,391","348,933","7,851","91,098","12,954","74,131","20,260","12,862","83,574","15,535","30,668"
April,2024,"660,771","313,408","52,453","8,656","17,501","50,571","24,360","18,129","68,939","19,828","51,031","26,300","347,363","7,863","89,876","13,136","73,414","20,901","13,046","83,479","15,413","30,235"
March,2024,"657,848","311,851","52,346","8,586","17,749","49,024","23,374","17,627","68,221","19,710","51,683","26,905","345,997","7,842","88,747","13,025","73,788","20,975","13,214","81,397","15,779","31,230"
February,2024,"667,678","314,897","53,225","8,729","17,835","49,384","23,642","18,650","68,485","19,566","51,550","27,473","352,781","7,868","88,765","12,961","73,354","24,110","12,969","85,662","15,663","31,429"
January,2024,"656,420","313,042","52,616","8,977","16,775","49,313","23,220","18,860","68,636","19,239","51,499","27,127","343,378","7,759","88,148","12,757","72,904","21,530","13,153","82,292","15,201","29,634"
December,2023,"665,640","312,285","51,237","9,143","18,041","48,559","22,615","19,483","66,148","19,232","51,848","28,594","353,355","7,964","89,665","12,330","73,610","22,025","13,261","86,723","15,734","32,043"
November,2023,"664,409","310,074","52,144","8,747","17,944","49,206","23,814","18,851","65,478","19,176","51,295","27,233","354,335","7,923","88,956","12,537","72,072","22,324","13,358","89,910","16,256","30,999"
October,2023,"667,288","311,893","50,667","8,750","18,143","48,395","23,257","19,042","68,654","19,664","51,362","27,216","355,395","7,888","89,109","12,969","72,496","22,939","12,775","89,964","15,746","31,509"
September,2023,"674,641","311,774","52,033","9,049","18,267","47,530","22,862","19,088","67,653","19,618","51,814","26,722","362,867","7,920","87,053","13,090","73,110","24,011","13,145","96,476","15,941","32,121"
August,2023,"661,071","309,496","50,315","9,138","18,045","49,833","24,316","19,396","64,955","19,236","51,799","26,779","351,575","7,793","87,872","12,783","73,205","22,515","13,328","86,922","15,474","31,683"
July,2023,"649,457","309,168","49,421","8,999","18,139","48,728","23,264","19,258","66,323","19,129","52,190","26,981","340,289","7,950","85,417","12,753","72,464","22,358","13,082","79,777","15,267","31,221"
June,2023,"645,131","308,203","50,072","9,044","17,920","49,260","24,310","19,731","65,813","18,698","51,863","25,802","336,928","8,095","85,331","12,451","72,109","23,709","13,096","74,674","15,373","32,090"
May,2023,"652,453","310,233","50,127","9,205","18,436","49,177","24,504","19,875","65,568","19,070","51,559","27,216","342,220","7,972","85,338","12,385","71,450","26,042","13,015","77,599","15,310","33,109"
April,2023,"651,926","307,588","48,631","8,802","17,937","48,154","23,613","20,110","65,952","19,082","51,327","27,593","344,338","8,023","84,117","12,695","71,295","25,731","13,454","81,336","15,624","32,063"
March,2023,"651,637","309,152","49,194","9,031","18,194","48,738","23,924","20,440","65,609","19,121","52,162","26,663","342,485","8,184","82,961","13,367","72,771","24,219","13,145","80,719","15,726","31,393"
February,2023,"664,709","314,780","49,513","9,016","18,643","48,816","23,908","20,684","67,328","19,295","53,649","27,836","349,929","8,421","82,304","13,638","73,523","26,862","13,289","83,279","16,439","32,174"
January,2023,"666,730","312,441","49,475","8,746","18,822","48,701","23,560","20,781","66,556","19,455","52,517","27,388","354,289","8,313","80,545","13,273","73,407","27,223","13,140","89,519","16,016","32,853"
December,2022,"658,999","308,962","48,957","8,734","19,072","49,497","24,891","20,213","64,951","19,602","51,571","26,365","350,037","8,434","78,102","13,435","73,491","27,096","13,587","88,275","15,506","32,111"
November,2022,"664,216","308,914","48,498","9,111","19,609","48,346","23,759","20,446","64,962","19,361","51,787","26,794","355,302","8,505","78,983","14,077","73,569","26,581","13,919","90,303","15,860","33,505"
October,2022,"670,317","317,034","49,855","9,361","20,224","50,323","25,043","21,480","67,023","19,365","51,635","27,768","353,283","8,712","77,897","13,866","73,078","24,821","14,073","91,522","15,871","33,443"
September,2022,"671,531","315,098","49,020","9,167","20,418","50,095","25,762","21,120","67,139","18,872","50,719","28,548","356,433","8,605","77,928","13,877","73,042","26,873","14,266","91,849","16,026","33,967"
August,2022,"674,919","315,602","46,749","9,301","21,204","49,224","24,869","22,110","67,597","19,565","50,595","29,257","359,317","8,770","76,874","14,526","72,680","29,244","14,181","93,098","15,893","34,051"
July,2022,"679,462","315,720","46,364","9,109","21,344","49,982","25,388","22,648","67,294","19,335","50,121","29,523","363,742","8,635","76,246","13,845","72,169","29,222","14,529","98,983","16,060","34,053"
June,2022,"695,010","316,333","45,904","9,403","21,469","49,614","25,365","23,031","66,871","19,457","49,952","30,632","378,677","8,855","76,890","14,555","72,064","29,869","14,456","111,458","15,673","34,857"
May,2022,"679,873","314,879","43,471","9,843","21,387","50,254","25,503","22,656","67,594","19,241","48,759","31,674","364,994","8,824","74,934","14,758","71,683","28,083","14,594","100,951","16,196","34,971"
April,2022,"679,109","320,037","44,636","10,214","21,888","51,204","26,311","23,056","68,268","19,214","47,927","33,630","359,072","8,889","74,033","14,548","71,298","27,486","14,028","98,970","16,193","33,627"
March,2022,"678,342","319,615","45,083","9,933","22,961","52,679","27,754","23,665","67,022","19,230","46,795","32,247","358,727","8,608","72,659","14,680","70,407","27,222","14,225","100,584","16,020","34,322"
February,2022,"659,182","309,595","42,312","9,739","21,536","52,484","27,666","22,975","64,905","18,818","46,235","30,591","349,587","8,399","75,437","13,909","70,549","24,801","13,899","93,173","16,245","33,175"
January,2022,"652,422","315,151","44,729","9,452","21,501","53,546","27,644","22,405","68,425","19,183","45,330","30,580","337,271","8,412","73,150","14,292","68,546","24,377","13,816","85,753","16,034","32,891"
December,2021,"626,837","298,567","41,785","8,816","20,031","50,728","26,980","21,867","63,807","18,018","43,333","30,182","328,270","8,143","70,906","14,293","67,697","23,292","13,271","82,569","14,943","33,156"
November,2021,"625,349","296,476","39,706","9,259","19,425","50,027","26,321","22,343","63,201","17,922","44,644","29,949","328,873","7,958","70,447","14,073","68,041","24,274","13,154","82,231","16,065","32,630"
October,2021,"610,136","289,657","39,049","9,391","18,917","49,282","25,521","21,697","59,547","17,668","43,620","30,486","320,479","8,125","69,752","13,790","67,304","23,339","12,830","78,377","15,816","31,146"
September,2021,"596,228","285,828","39,549","9,572","18,244","48,551","24,703","20,923","59,892","17,002","43,240","28,855","310,400","7,792","70,479","12,893","65,902","21,719","12,637","73,623","15,555","29,800"
August,2021,"588,645","285,590","41,272","9,134","18,230","48,039","23,903","19,823","59,698","17,147","42,383","29,864","303,055","7,760","67,052","12,633","64,797","22,080","12,655","70,918","15,765","29,395"
July,2021,"596,248","286,869","42,642","9,464","18,398","46,985","23,299","19,510","59,258","16,977","43,787","29,848","309,379","7,691","71,961","13,483","64,107","22,203","12,154","72,669","15,968","29,143"
June,2021,"581,922","284,145","41,850","9,174","19,562","47,775","24,303","18,200","59,286","17,313","41,801","29,184","297,777","7,474","67,618","13,942","63,637","21,623","12,032","67,114","15,571","28,766"
